connectionTime,dayOfMonth_c,dayOfWeek_c,monthOfYear_c,session_count_c
2019-01-02 01:00:00,2,2,1,1
2019-01-02 13:30:00,2,2,1,4
2019-01-02 14:00:00,2,2,1,6
2019-01-02 14:30:00,2,2,1,10
2019-01-02 15:00:00,2,2,1,6
2019-01-02 15:30:00,2,2,1,8
2019-01-02 16:00:00,2,2,1,7
2019-01-02 16:30:00,2,2,1,6
2019-01-02 17:00:00,2,2,1,3
2019-01-02 17:30:00,2,2,1,3
2019-01-02 19:00:00,2,2,1,1
2019-01-02 20:00:00,2,2,1,3
2019-01-02 20:30:00,2,2,1,3
2019-01-02 21:00:00,2,2,1,2
2019-01-02 22:00:00,2,2,1,2
2019-01-02 22:30:00,2,2,1,1
2019-01-02 23:00:00,2,2,1,2
2019-01-02 23:30:00,2,2,1,1
2019-01-03 00:00:00,3,3,1,2
2019-01-03 01:30:00,3,3,1,1
2019-01-03 13:00:00,3,3,1,1
2019-01-03 13:30:00,3,3,1,4
2019-01-03 14:00:00,3,3,1,7
2019-01-03 14:30:00,3,3,1,4
2019-01-03 15:00:00,3,3,1,10
2019-01-03 15:30:00,3,3,1,6
2019-01-03 16:00:00,3,3,1,9
2019-01-03 16:30:00,3,3,1,4
2019-01-03 17:00:00,3,3,1,6
2019-01-03 19:00:00,3,3,1,1
2019-01-03 19:30:00,3,3,1,1
2019-01-03 21:00:00,3,3,1,3
2019-01-03 21:30:00,3,3,1,4
2019-01-03 23:00:00,3,3,1,2
2019-01-03 23:30:00,3,3,1,1
2019-01-04 00:00:00,4,4,1,1
2019-01-04 01:30:00,4,4,1,1
2019-01-04 13:30:00,4,4,1,1
2019-01-04 14:00:00,4,4,1,1
2019-01-04 15:00:00,4,4,1,3
2019-01-04 15:30:00,4,4,1,2
2019-01-04 16:00:00,4,4,1,5
2019-01-04 16:30:00,4,4,1,3
2019-01-04 17:00:00,4,4,1,1
2019-01-04 17:30:00,4,4,1,3
2019-01-04 18:00:00,4,4,1,2
2019-01-04 18:30:00,4,4,1,3
2019-01-04 19:00:00,4,4,1,1
2019-01-04 19:30:00,4,4,1,1
2019-01-04 20:00:00,4,4,1,1
2019-01-04 21:00:00,4,4,1,1
2019-01-04 22:00:00,4,4,1,2
2019-01-05 13:30:00,5,5,1,1
2019-01-05 18:00:00,5,5,1,2
2019-01-05 19:30:00,5,5,1,1
2019-01-06 17:30:00,6,6,1,1
2019-01-07 12:30:00,7,0,1,1
2019-01-07 13:30:00,7,0,1,6
2019-01-07 14:00:00,7,0,1,6
2019-01-07 14:30:00,7,0,1,7
2019-01-07 15:00:00,7,0,1,15
2019-01-07 15:30:00,7,0,1,15
2019-01-07 16:00:00,7,0,1,1
2019-01-07 18:30:00,7,0,1,1
2019-01-07 19:00:00,7,0,1,1
2019-01-07 19:30:00,7,0,1,1
2019-01-07 20:30:00,7,0,1,4
2019-01-07 22:00:00,7,0,1,1
2019-01-07 22:30:00,7,0,1,1
2019-01-07 23:00:00,7,0,1,1
2019-01-07 23:30:00,7,0,1,3
2019-01-08 00:00:00,8,1,1,1
2019-01-08 00:30:00,8,1,1,2
2019-01-08 01:00:00,8,1,1,1
2019-01-08 01:30:00,8,1,1,1
2019-01-08 13:30:00,8,1,1,5
2019-01-08 14:00:00,8,1,1,7
2019-01-08 14:30:00,8,1,1,14
2019-01-08 15:00:00,8,1,1,11
2019-01-08 15:30:00,8,1,1,14
2019-01-08 16:30:00,8,1,1,1
2019-01-08 18:00:00,8,1,1,1
2019-01-08 19:30:00,8,1,1,2
2019-01-08 20:00:00,8,1,1,2
2019-01-08 20:30:00,8,1,1,1
2019-01-08 21:30:00,8,1,1,1
2019-01-08 22:30:00,8,1,1,2
2019-01-08 23:00:00,8,1,1,3
2019-01-08 23:30:00,8,1,1,1
2019-01-09 00:00:00,9,2,1,1
2019-01-09 00:30:00,9,2,1,1
2019-01-09 12:00:00,9,2,1,1
2019-01-09 13:00:00,9,2,1,1
2019-01-09 13:30:00,9,2,1,6
2019-01-09 14:00:00,9,2,1,9
2019-01-09 14:30:00,9,2,1,11
